Duration (in seconds),Finished,condition,teamID,participantID,pre1,pre2,report1,report2,report3,report4,report5,report6,report7,tRoll1,tRoll2,tRoll3,tRoll4,tRoll5,tRoll6,tRoll7,diff1,diff2,diff3,diff4,diff5,diff6,diff7,avgcheat,competent,goodjob,performance,ability,effort,power,leadercheat,gender,age,race,schoolyear,Roll-1A,Roll-1B,Roll-2A,Roll-2B,Roll-3A,Roll-3B,Roll-4A,Roll-4B,Roll-5A,Roll-5B,Roll-6A,Roll-6B,Roll-7A,Roll-7B
1095,TRUE,1,1,101,"Analytical Abilities,Compassion,Confidence","Collaboration,Communication,Flexibility",5,5,11,11,4,11,7,5,5,11,11,4,11,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,No,Male,30,Asian,Graduate,2,3,2,3,6,5,5,6,2,2,6,5,3,4
1357,TRUE,1,1,104,"Competency,Presentation Skills,Confidence","Collaboration,Communication,Open Mindedness",5,9,5,6,6,7,7,5,9,5,6,6,7,7,0,0,0,0,0,0,0,0,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Agree,No,Female,22,Asian,Graduate,4,1,5,4,4,1,5,1,1,5,3,4,2,5
1189,TRUE,1,1,103,"Competency,Analytical Abilities,Good Intuition","Communication,Flexibility,Accountability",10,7,5,9,5,7,7,10,7,5,9,5,7,7,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Disagree,Disagree,Slightly Agree,No,Female,18,Asian,Freshman,6,4,2,5,2,3,5,4,2,3,1,6,1,6
1464,TRUE,2,2,105,"Good Intuition,Confidence,Ambition","Communication,Accountability,Competency",5,7,6,4,6,8,8,5,7,6,4,6,8,8,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Slightly Agree,Strongly Disagree,Disagree,No,Male,19,Caucasian,Sophomore,4,1,3,4,2,4,2,2,3,3,5,3,3,5
1157,TRUE,2,2,107,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",3,8,10,7,6,7,6,3,8,10,7,6,7,6,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Female,21,Caucasian,Senior,2,1,5,3,6,4,3,4,2,4,2,5,5,1
1503,TRUE,2,2,108,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",9,6,4,8,9,6,4,9,6,4,8,9,6,4,0,0,0,0,0,0,0,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Yes,Male,33,Asian,Graduate,6,3,3,3,3,1,3,5,6,3,3,3,1,3
750,TRUE,3,3,110,"Compassion,Good Intuition,Confidence","Collaboration,Communication,Accountability",6,12,5,5,8,10,4,6,12,5,5,8,10,4,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,No,Female,18,Asian,Sophomore,4,2,6,6,2,3,2,3,3,5,5,5,3,1
1076,TRUE,3,3,109,"Competency,Compassion,Ambition","Collaboration,Communication,Competency",11,4,7,7,4,6,8,11,4,7,7,4,6,8,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,Asian,Freshman,5,6,2,2,2,5,4,3,2,2,5,1,2,6
1089,TRUE,3,3,112,"Analytical Abilities,Good Intuition,Ambition","Collaboration,Communication,Open Mindedness",7,11,2,6,6,5,3,7,11,2,6,6,5,3,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Male,17,Caucasian,Other,2,5,6,5,1,1,5,1,5,1,4,1,2,1
1106,TRUE,1,4,116,"Competency,Presentation Skills,Confidence","Team Work,Collaboration,Communication",2,12,9,7,7,7,10,2,12,9,7,7,7,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,No,Female,18,African American,Freshman,1,1,6,6,6,3,5,2,3,4,1,6,6,4
1273,TRUE,1,4,115,"Competency,Analytical Abilities,Good Intuition","Team Work,Collaboration,Communication",7,4,6,7,12,5,7,7,4,6,7,12,5,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,African American,Freshman,1,6,2,2,5,1,2,5,6,6,1,4,4,3
1156,TRUE,1,4,114,"Analytical Abilities,Compassion,Good Intuition","Collaboration,Open Mindedness,Accountability",10,7,10,2,7,9,10,10,7,10,2,7,9,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,No,Male,19,African American,Freshman,5,5,3,4,5,5,1,1,1,6,4,5,6,4
1204,TRUE,2,5,117,"Competency,Compassion,Ambition","Collaboration,Accountability,Competency",5,8,7,6,9,10,6,5,8,7,6,9,10,6,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,No,Female,24,Asian,Graduate,3,2,4,4,6,1,3,3,4,5,4,6,1,5
1189,TRUE,2,5,119,"Competency,Presentation Skills,Confidence","Communication,Flexibility,Competency",9,2,11,7,4,12,6,9,2,11,7,4,12,6,0,0,0,0,0,0,0,0,Strongly Agree,Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,No,Male,27,Caucasian,Graduate,6,3,1,1,6,5,1,6,2,2,6,6,5,1
1155,TRUE,2,5,118,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",7,7,6,10,6,7,3,6,6,6,10,6,7,3,1,1,0,0,0,0,0,0.2857142857,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,No,Male,23,Caucasian,Graduate,2,4,4,2,5,1,6,4,1,5,2,5,1,2
875,TRUE,1,6,124,"Compassion,Good Intuition,Ambition","Collaboration,Open Mindedness,Flexibility",5,3,8,4,3,6,7,5,3,8,4,3,6,7,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,Disagree,Slightly Disagree,No,Prefer not to say,25,Other,Graduate,3,2,1,2,4,4,2,2,1,2,1,5,5,2
1096,TRUE,1,6,212,"Competency,Good Intuition,Confidence","Collaboration,Communication,Flexibility",5,9,5,5,11,9,7,5,9,5,5,11,9,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Disagree,No,Male,22,Asian,Graduate,4,1,6,3,4,1,4,1,6,5,3,6,6,1
949,TRUE,1,6,123,"Competency,Analytical Abilities,Ambition","Collaboration,Communication,Flexibility",8,3,8,5,6,8,4,8,3,8,5,6,8,4,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Female,21,Asian,Graduate,3,5,1,2,5,3,4,1,5,1,5,3,1,3
3163,TRUE,3,7,126,"Competency,Compassion,Confidence","Team Work,Communication,Open Mindedness",8,9,9,7,9,4,11,8,9,9,7,9,4,11,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,23,Asian,Graduate,5,3,4,5,6,3,4,3,3,6,3,1,5,6
2837,TRUE,3,7,125,"Competency,Good Intuition,Confidence","Collaboration,Open Mindedness,Flexibility",8,12,8,5,10,8,2,8,12,8,5,10,8,2,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,25,Asian,Graduate,4,4,6,6,3,5,3,2,4,6,3,5,1,1
2831,TRUE,3,7,128,"Competency,Good Intuition,Confidence","Team Work,Collaboration,Communication",9,4,8,7,9,6,8,9,4,8,7,9,6,8,0,0,0,0,0,0,0,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,No,Male,22,Asian,Graduate,5,4,2,2,3,5,3,4,3,6,5,1,2,6
1285,TRUE,2,8,130,"Competency,Compassion,Confidence","Collaboration,Communication,Flexibility",7,9,6,8,3,9,6,7,9,6,8,3,9,6,0,0,0,0,0,0,0,0,Slightly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,22,Asian,Freshman,5,2,5,4,4,2,2,6,1,2,6,3,5,1
1322,TRUE,2,8,129,"Competency,Presentation Skills,Analytical Abilities","Team Work,Collaboration,Flexibility",11,9,12,9,11,10,12,8,9,10,8,9,7,12,3,0,2,1,2,3,0,1.571428571,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,No,Male,26,Asian,Graduate,4,4,6,3,4,6,5,3,6,3,3,4,6,6
1288,TRUE,2,8,131,"Competency,Analytical Abilities,Confidence","Collaboration,Accountability,Competency",4,11,3,10,9,6,10,4,11,3,10,9,6,10,0,0,0,0,0,0,0,0,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,No,Male,23,Asian,Graduate,2,2,5,6,1,2,5,5,3,6,1,5,4,6
1386,TRUE,3,9,134,"Competency,Analytical Abilities,Confidence","Communication,Flexibility,Competency",12,12,9,10,12,10,10,12,12,6,4,4,10,6,0,0,3,6,8,0,4,3,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Yes,Female,22,Asian,Graduate,6,6,6,6,1,5,2,2,2,2,5,5,1,5
1293,TRUE,3,9,136,"Competency,Analytical Abilities,Compassion","Collaboration,Communication,Open Mindedness",9,12,10,12,5,7,9,9,2,7,3,5,7,9,0,10,3,9,0,0,0,3.142857143,Agree,Agree,Slightly Disagree,Disagree,Disagree,Disagree,Yes,Female,24,Caucasian,Graduate,3,6,1,1,2,5,2,1,3,2,1,6,4,5
1404,TRUE,3,9,135,"Competency,Good Intuition,Confidence","Communication,Open Mindedness,Accountability",11,12,12,12,12,12,12,6,6,10,10,6,6,7,5,6,2,2,6,6,5,4.571428571,Strongly Agree,Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Yes,Female,23,Asian,Graduate,2,4,2,4,5,5,6,4,1,5,4,2,4,3
942,TRUE,1,10,138,"Competency,Good Intuition,Confidence","Team Work,Accountability,Competency",6,11,10,4,4,10,3,6,11,10,4,4,10,3,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,No,Male,22,Asian,Graduate,3,3,5,6,4,6,2,2,3,1,4,6,1,2
1144,TRUE,1,10,140,"Compassion,Confidence,Ambition","Team Work,Flexibility,Accountability",6,8,9,8,6,5,7,6,8,9,8,6,5,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,Other,Freshman,1,5,3,5,3,6,2,6,1,5,1,4,3,4
1027,TRUE,1,10,137,"Compassion,Good Intuition,Ambition","Communication,Open Mindedness,Accountability",7,11,11,11,3,12,9,7,11,11,11,3,12,9,0,0,0,0,0,0,0,0,Disagree,Agree,Agree,Agree,Agree,Agree,No,Male,23,Asian,Graduate,6,1,5,6,6,5,6,5,2,1,6,6,3,6
2486,TRUE,2,11,141,"Competency,Good Intuition,Confidence","Collaboration,Communication,Open Mindedness",6,12,2,9,3,6,5,6,12,2,9,3,6,5,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Agree,Slightly Disagree,No,Female,22,Asian,Graduate,1,5,6,6,1,1,3,6,1,2,2,4,3,2
2368,TRUE,2,11,142,"Compassion,Confidence,Ambition","Communication,Flexibility,Accountability",6,8,3,8,4,4,8,6,7,3,8,3,4,7,0,1,0,0,1,0,1,0.4285714286,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Yes,Female,21,Asian,Graduate,1,5,3,4,1,2,6,2,2,1,2,2,4,3
2690,TRUE,2,11,144,"Analytical Abilities,Compassion,Confidence","Collaboration,Open Mindedness,Competency",2,6,4,5,9,7,5,2,6,4,5,9,7,5,0,0,0,0,0,0,0,0,Slightly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,Male,20,Asian,Junior,1,1,4,2,3,1,4,1,6,3,4,3,4,1
1225,TRUE,3,12,147,"Competency,Analytical Abilities,Compassion","Communication,Accountability,Competency",2,5,6,9,12,8,7,2,5,6,9,12,8,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,No,Female,25,Asian,Graduate,1,1,1,4,4,2,5,4,6,6,5,3,5,2
1234,TRUE,3,12,146,"Competency,Presentation Skills,Compassion","Communication,Accountability,Competency",3,4,8,6,8,10,5,3,4,8,6,8,10,5,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,Male,18,Asian,Freshman,1,2,3,1,2,6,1,5,5,3,6,4,4,1
1192,TRUE,3,12,145,"Presentation Skills,Analytical Abilities,Confidence","Team Work,Collaboration,Communication",9,7,2,8,3,5,9,9,7,2,8,3,5,9,0,0,0,0,0,0,0,0,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Agree,No,Male,25,Asian,Other,5,4,1,6,1,1,4,4,1,2,1,4,5,4
4231,TRUE,1,13,152,"Competency,Analytical Abilities,Good Intuition","Communication,Accountability,Competency",11,7,4,8,10,11,3,11,7,4,8,10,11,3,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Female,18,Caucasian,Freshman,5,6,1,6,3,1,4,4,6,4,5,6,1,2
725,TRUE,1,13,149,"Presentation Skills,Compassion,Good Intuition","Collaboration,Communication,Open Mindedness",6,8,6,3,8,2,3,6,7,6,3,8,2,3,0,1,0,0,0,0,0,0.1428571429,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Male,24,Asian,Graduate,5,1,6,1,1,5,2,1,4,4,1,1,1,2
996,TRUE,1,13,150,"Compassion,Confidence,Ambition","Collaboration,Communication,Flexibility",9,10,8,6,9,11,7,9,10,8,6,9,11,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,18,Caucasian,Freshman,5,4,6,4,6,2,5,1,4,5,6,5,4,3
1455,TRUE,1,14,154,"Competency,Presentation Skills,Confidence","Collaboration,Communication,Competency",8,8,9,5,9,9,9,8,8,9,5,9,9,9,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,25,Caucasian,Graduate,3,5,4,4,5,4,4,1,6,3,5,4,6,3
1445,TRUE,1,14,153,"Competency,Presentation Skills,Confidence","Team Work,Communication,Competency",6,7,10,8,8,5,3,3,7,10,4,8,5,3,3,0,0,4,0,0,0,1,Agree,Agree,Agree,Agree,Disagree,Slightly Disagree,No,Male,22,Caucasian,Graduate,1,2,4,3,6,4,2,2,2,6,3,2,2,1
1488,TRUE,1,14,155,"Competency,Analytical Abilities,Confidence","Communication,Open Mindedness,Accountability",7,8,5,6,6,12,9,7,8,5,6,6,12,9,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,Agree,Slightly Agree,No,Male,23,Asian,Graduate,5,2,5,3,4,1,2,4,5,1,6,6,3,6
1398,TRUE,2,15,160,"Competency,Good Intuition,Confidence","Communication,Flexibility,Competency",5,5,7,10,12,10,11,5,5,3,10,9,8,5,0,0,4,0,3,2,6,2.142857143,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Female,18,Caucasian,Freshman,1,4,4,1,1,2,5,5,6,3,4,4,3,2
2015,TRUE,2,15,157,"Presentation Skills,Compassion,Confidence","Team Work,Communication,Open Mindedness",3,7,9,6,9,8,12,3,7,10,6,3,8,5,0,0,-1,0,6,0,7,1.714285714,Slightly Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Prefer not to say,21,Asian,Graduate,2,1,5,2,6,4,3,3,2,1,4,4,4,1
2042,TRUE,2,15,159,"Compassion,Confidence,Ambition","Team Work,Communication,Open Mindedness",9,5,5,6,3,11,11,9,5,5,6,3,11,11,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Disagree,Disagree,No,Male,18,Asian,Freshman,4,5,3,2,3,2,2,4,1,2,6,5,5,6
1207,TRUE,3,17,166,"Presentation Skills,Good Intuition,Confidence","Collaboration,Communication,Flexibility",12,6,7,5,4,7,9,12,6,7,5,4,7,9,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,19,Hispanic/Latinx,Freshman,6,6,4,2,3,4,4,1,2,2,6,1,5,4
852,TRUE,3,17,167,"Competency,Compassion,Confidence","Communication,Open Mindedness,Competency",5,9,9,10,11,7,9,5,9,9,10,11,7,9,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Prefer not to say,24,Asian,Graduate,3,2,5,4,5,4,5,5,5,6,2,5,4,5
673,TRUE,3,17,168,"Compassion,Good Intuition,Confidence","Collaboration,Open Mindedness,Competency",10,8,2,11,4,8,7,10,8,2,11,4,8,7,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,Female,20,Caucasian,Junior,6,4,3,5,1,1,5,6,1,3,2,6,6,1
791,TRUE,3,18,171,"Competency,Compassion,Confidence","Collaboration,Communication,Competency",5,6,5,5,4,3,7,5,6,5,5,4,3,7,0,0,0,0,0,0,0,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,22,Asian,Graduate,4,1,5,1,4,1,1,4,3,1,2,1,3,4
