Duration (in seconds),Finished,condition,teamID,participantID,pre1,pre2,report1,report2,report3,report4,report5,report6,report7,tRoll1,tRoll2,tRoll3,tRoll4,tRoll5,tRoll6,tRoll7,diff1,diff2,diff3,diff4,diff5,diff6,diff7,avgcheat,competent,goodjob,performance,ability,effort,power,leadercheat,gender,age,race,schoolyear,Roll-1A,Roll-1B,Roll-2A,Roll-2B,Roll-3A,Roll-3B,Roll-4A,Roll-4B,Roll-5A,Roll-5B,Roll-6A,Roll-6B,Roll-7A,Roll-7B
813,TRUE,3,18,172,"Presentation Skills,Confidence,Ambition","Team Work,Collaboration,Communication",12,12,6,8,8,7,3,4,7,6,8,8,7,3,8,5,0,0,0,0,0,1.857142857,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,No,Female,22,Asian,Graduate,2,2,2,5,5,1,4,4,6,2,3,4,1,2
810,TRUE,3,18,169,"Competency,Analytical Abilities,Confidence","Team Work,Open Mindedness,Flexibility",3,8,8,6,6,9,4,3,8,8,6,6,9,4,0,0,0,0,0,0,0,0,Strongly Agree,Agree,Agree,Agree,Agree,Slightly Agree,No,Male,23,Asian,Graduate,1,2,6,2,4,4,1,5,2,4,5,4,1,3
832,TRUE,1,19,174,"Competency,Compassion,Ambition","Team Work,Open Mindedness,Competency",9,12,7,8,7,7,11,4,4,7,3,2,7,11,5,8,0,5,5,0,0,3.285714286,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Female,23,Asian,Graduate,2,2,3,1,2,5,2,1,1,1,2,5,5,6
856,TRUE,1,19,173,"Competency,Compassion,Good Intuition","Collaboration,Communication,Flexibility",7,5,2,9,10,9,9,7,5,2,9,10,9,9,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,24,Asian,Graduate,4,3,2,3,1,1,5,4,6,4,6,3,5,4
873,TRUE,1,19,176,"Presentation Skills,Analytical Abilities,Confidence","Team Work,Communication,Competency",8,5,8,6,5,5,10,8,5,8,6,5,5,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,Female,25,Asian,Other,2,6,3,2,5,3,3,3,4,1,3,2,6,4
1302,TRUE,2,20,179,"Competency,Compassion,Confidence","Communication,Flexibility,Accountability",3,10,5,9,10,9,7,3,10,5,9,10,9,7,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,No,Female,25,Hispanic/Latinx,Graduate,2,1,6,4,1,4,4,5,5,5,5,4,4,3
1576,TRUE,2,20,180,"Compassion,Confidence,Ambition","Team Work,Collaboration,Accountability",9,6,8,9,9,6,6,9,6,8,9,8,6,6,0,0,0,0,1,0,0,0.1428571429,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,No,Female,27,Asian,Graduate,6,3,2,4,5,3,6,3,3,5,3,3,2,4
942,TRUE,2,20,178,"Competency,Compassion,Good Intuition","Collaboration,Communication,Accountability",4,8,5,10,10,7,12,4,8,5,10,10,7,12,0,0,0,0,0,0,0,0,Agree,Slightly Disagree,Slightly Disagree,Disagree,Strongly Disagree,Disagree,No,Female,23,Asian,Graduate,2,2,3,5,2,3,4,6,5,5,3,4,6,6
1167,TRUE,3,21,184,"Competency,Analytical Abilities,Ambition","Collaboration,Communication,Accountability",10,7,4,7,4,6,7,10,7,4,7,4,6,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Slightly Agree,Disagree,No,Female,22,Asian,Graduate,4,6,1,6,3,1,6,1,2,2,2,4,5,2
1169,TRUE,3,21,183,"Competency,Analytical Abilities,Good Intuition","Communication,Open Mindedness,Competency",4,4,6,9,8,7,4,4,4,6,9,8,7,2,0,0,0,0,0,0,2,0.2857142857,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,No,Male,25,Caucasian,Graduate,2,2,3,1,2,4,3,6,3,5,3,4,1,1
1166,TRUE,3,21,182,"Competency,Compassion,Confidence","Collaboration,Open Mindedness,Accountability",6,4,9,12,10,12,10,6,4,9,12,10,12,10,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Female,28,Asian,Graduate,3,3,2,2,3,6,6,6,4,6,6,6,5,5
1127,TRUE,1,22,187,"Competency,Compassion,Confidence","Team Work,Communication,Open Mindedness",5,6,6,9,9,11,9,5,6,6,7,9,9,8,0,0,0,2,0,2,1,0.7142857143,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,Male,24,Asian,Graduate,1,4,2,4,4,2,2,5,6,3,5,4,2,6
1160,TRUE,1,22,185,"Competency,Analytical Abilities,Confidence","Team Work,Communication,Open Mindedness",6,5,6,11,6,5,6,6,5,6,11,6,5,6,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,No,Female,22,Asian,Graduate,4,2,4,1,4,2,5,6,1,5,3,2,2,4
1149,TRUE,1,22,188,"Analytical Abilities,Compassion,Confidence","Collaboration,Accountability,Competency",5,6,7,7,8,8,5,5,6,7,7,8,8,5,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,22,Asian,Graduate,1,4,4,2,4,3,1,6,5,3,5,3,1,4
886,TRUE,2,23,191,"Competency,Good Intuition,Confidence","Communication,Open Mindedness,Accountability",11,11,12,12,12,12,12,7,11,7,9,3,3,6,4,0,5,3,9,9,6,5.142857143,Agree,Agree,Agree,Agree,Strongly Disagree,Slightly Disagree,No,Male,22,Asian,Graduate,2,5,5,6,4,3,5,4,2,1,1,2,1,5
906,TRUE,2,23,189,"Competency,Presentation Skills,Good Intuition","Communication,Accountability,Competency",8,9,8,7,5,9,4,8,9,8,7,5,9,4,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Male,21,Caucasian,Junior,3,5,3,6,4,4,3,4,4,1,3,6,2,2
869,TRUE,2,23,190,"Presentation Skills,Analytical Abilities,Compassion","Communication,Flexibility,Accountability",12,12,12,12,12,12,12,10,7,6,10,8,7,7,2,5,6,2,4,5,5,4.142857143,Disagree,Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,No,Male,21,Caucasian,Junior,4,6,5,2,1,5,4,6,5,3,3,4,4,3
2266,TRUE,3,24,193,"Analytical Abilities,Compassion,Good Intuition","Team Work,Communication,Accountability",3,6,10,9,4,9,5,3,6,10,9,4,9,5,0,0,0,0,0,0,0,0,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,No,Male,21,Other,Senior,1,2,2,4,6,4,4,5,3,1,6,3,1,4
2180,TRUE,3,24,194,"Competency,Analytical Abilities,Confidence","Team Work,Communication,Competency",12,3,10,12,4,8,2,8,5,6,2,8,8,12,4,-2,4,10,-4,0,-10,0.2857142857,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Prefer not to say,26,African American,Graduate,2,6,4,1,1,5,1,1,2,6,6,2,6,6
1747,TRUE,3,24,196,"Competency,Analytical Abilities,Compassion","Team Work,Open Mindedness,Accountability",8,9,7,8,11,9,12,8,9,7,8,11,9,12,0,0,0,0,0,0,0,0,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Yes,Male,22,Asian,Graduate,4,4,3,6,1,6,3,5,6,5,3,6,6,6
915,TRUE,1,25,200,"Competency,Analytical Abilities,Compassion","Collaboration,Communication,Open Mindedness",3,5,6,4,6,11,5,3,5,6,4,6,11,5,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Agree,No,Female,19,Other,Sophomore,1,2,4,1,5,1,1,3,5,1,5,6,4,1
964,TRUE,1,25,199,"Competency,Good Intuition,Confidence","Team Work,Communication,Competency",9,8,9,3,9,11,8,9,8,9,3,9,4,8,0,0,0,0,0,7,0,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,Female,19,Asian,Freshman,5,4,3,5,3,6,1,2,5,4,1,3,3,5
1224,TRUE,1,25,197,"Presentation Skills,Confidence,Ambition","Communication,Accountability,Competency",8,8,5,9,6,8,5,8,8,5,9,6,8,5,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Slightly Disagree,No,Female,17,Hispanic/Latinx,Freshman,2,6,5,3,1,4,5,4,4,2,5,3,4,1
1323,TRUE,2,26,204,"Presentation Skills,Confidence,Ambition","Team Work,Communication,Open Mindedness",11,5,10,7,9,5,11,11,5,10,7,9,5,11,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Agree,Agree,Slightly Agree,No,Male,19,Asian,Freshman,5,6,2,3,5,5,1,6,4,5,3,2,6,5
1389,TRUE,2,26,202,"Compassion,Good Intuition,Confidence","Collaboration,Communication,Accountability",8,9,12,9,9,8,8,8,9,12,9,9,8,8,0,0,0,0,0,0,0,0,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Disagree,Disagree,Yes,Male,22,Asian,Graduate,2,6,3,6,6,6,4,5,4,5,6,2,2,6
1399,TRUE,2,26,203,"Presentation Skills,Analytical Abilities,Compassion","Team Work,Communication,Open Mindedness",7,10,6,3,6,5,10,7,10,6,3,6,5,10,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,Male,20,Asian,Sophomore,1,6,6,4,1,5,1,2,2,4,3,2,5,5
1493,TRUE,3,27,207,"Analytical Abilities,Confidence,Ambition","Collaboration,Communication,Accountability",11,6,5,11,7,5,7,11,6,5,11,7,5,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,No,Male,25,Asian,Other,6,5,5,1,2,3,5,6,1,6,3,2,6,1
1514,TRUE,3,27,206,"Competency,Compassion,Confidence","Team Work,Communication,Accountability",6,7,7,5,11,11,7,6,7,7,5,11,11,7,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,23,Caucasian,Graduate,1,5,5,2,6,1,2,3,6,5,5,6,3,4
1365,TRUE,3,27,205,"Competency,Analytical Abilities,Good Intuition","Team Work,Communication,Flexibility",8,2,6,10,12,6,3,8,2,6,10,12,6,3,0,0,0,0,0,0,0,0,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Strongly Disagree,Disagree,Yes,Male,22,Asian,Graduate,6,2,1,1,2,4,6,4,6,6,4,2,2,1
1616,TRUE,1,28,209,"Competency,Confidence,Ambition","Collaboration,Communication,Competency",5,3,11,8,10,3,6,5,3,11,8,10,3,6,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,Disagree,Disagree,No,Female,19,Hispanic/Latinx,Sophomore,3,2,1,2,6,5,3,5,4,6,1,2,2,4
1636,TRUE,1,28,210,"Competency,Compassion,Confidence","Collaboration,Communication,Competency",9,8,8,7,9,7,8,9,8,8,7,9,7,8,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Disagree,Slightly Disagree,No,Female,20,Caucasian,Junior,4,5,6,2,5,3,6,1,5,4,3,4,5,3
1640,TRUE,1,28,211,"Competency,Compassion,Good Intuition","Collaboration,Communication,Accountability",6,3,7,6,5,3,7,6,3,7,6,5,3,7,0,0,0,0,0,0,0,0,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Yes,Male,37,Hispanic/Latinx,Graduate,2,4,1,2,5,2,2,4,4,1,1,2,6,1
1434,TRUE,2,29,213,"Competency,Compassion,Ambition","Open Mindedness,Flexibility,Competency",7,5,4,9,7,6,10,7,5,4,9,7,6,11,0,0,0,0,0,0,-1,-0.1428571429,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Female,18,Asian,Freshman,2,5,3,2,1,3,6,3,4,3,1,5,6,5
632,TRUE,2,29,214,"Competency,Confidence,Ambition","Communication,Accountability,Competency",7,7,11,9,8,8,3,3,7,11,9,7,7,3,4,0,0,0,1,1,0,0.8571428571,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Female,19,Asian,Freshman,2,1,2,5,5,6,5,4,6,1,5,2,2,1
1447,TRUE,2,29,216,"Presentation Skills,Compassion,Ambition","Collaboration,Communication,Accountability",6,5,8,10,9,7,5,6,5,8,10,9,7,5,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Slightly Agree,Disagree,Slightly Agree,No,Female,19,Hispanic/Latinx,Sophomore,3,3,1,4,5,3,5,5,4,5,3,4,2,3
907,TRUE,3,30,218,"Competency,Presentation Skills,Confidence","Collaboration,Communication,Accountability",8,5,8,6,8,7,7,8,5,8,6,8,7,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,18,Asian,Freshman,5,3,3,2,5,3,5,1,4,4,6,1,3,4
924,TRUE,3,30,220,"Competency,Compassion,Good Intuition","Collaboration,Communication,Accountability",4,8,7,8,7,5,7,4,8,7,8,7,5,7,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Female,19,Asian,Junior,1,3,4,4,2,5,5,3,1,6,1,4,4,3
912,TRUE,3,30,217,"Competency,Analytical Abilities,Ambition","Communication,Open Mindedness,Competency",5,6,11,7,8,6,6,5,6,11,7,8,6,6,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,Male,18,Caucasian,Freshman,3,2,2,4,5,6,3,4,5,3,3,3,2,4
1039,TRUE,1,31,224,"Competency,Compassion,Ambition","Team Work,Communication,Accountability",9,8,7,6,11,4,3,9,8,7,6,11,4,3,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Disagree,Disagree,No,Female,19,Asian,Sophomore,3,6,3,5,3,4,1,5,5,6,2,2,1,2
1336,TRUE,1,31,223,"Analytical Abilities,Compassion,Confidence","Communication,Open Mindedness,Accountability",7,4,6,9,8,8,3,7,4,6,9,8,8,3,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,21,Asian,Senior,2,5,2,2,1,5,3,6,4,4,3,5,2,1
1350,TRUE,1,31,221,"Analytical Abilities,Good Intuition,Confidence","Collaboration,Communication,Open Mindedness",9,6,7,10,6,3,8,9,6,7,10,6,3,8,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Slightly Agree,No,Female,20,Asian,Junior,6,3,3,3,4,3,4,6,3,3,1,2,3,5
969,TRUE,2,32,227,"Analytical Abilities,Compassion,Good Intuition","Team Work,Collaboration,Accountability",7,5,7,8,5,8,9,7,5,7,8,5,8,9,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Female,22,Asian,Graduate,1,6,4,1,5,2,5,3,3,2,4,4,3,6
2903,TRUE,2,32,225,"Analytical Abilities,Compassion,Good Intuition","Communication,Open Mindedness,Accountability",7,10,12,2,7,7,5,7,8,12,2,7,7,5,0,2,0,0,0,0,0,0.2857142857,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Female,24,Asian,Graduate,2,5,6,2,6,6,1,1,1,6,5,2,3,2
2791,TRUE,2,32,226,"Presentation Skills,Analytical Abilities,Confidence","Collaboration,Communication,Open Mindedness",9,7,10,8,11,7,8,7,7,8,6,11,7,8,2,0,2,2,0,0,0,0.8571428571,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,Female,24,Asian,Graduate,3,4,6,1,5,3,2,4,6,5,4,3,5,3
958,TRUE,3,33,229,"Competency,Analytical Abilities,Confidence","Team Work,Collaboration,Communication",7,8,12,5,5,6,9,6,6,9,5,3,6,7,1,2,3,0,2,0,2,1.428571429,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,23,Asian,Graduate,2,4,2,4,4,5,1,4,2,1,4,2,4,3
979,TRUE,3,33,230,"Competency,Good Intuition,Confidence","Team Work,Collaboration,Communication",7,7,10,10,5,10,6,7,5,10,8,4,5,6,0,2,0,2,1,5,0,1.428571429,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,22,Asian,Graduate,4,3,4,1,6,4,5,3,1,3,4,1,5,1
1121,TRUE,3,33,231,"Presentation Skills,Analytical Abilities,Good Intuition","Collaboration,Open Mindedness,Accountability",4,12,10,11,10,5,6,4,9,10,11,6,5,6,0,3,0,0,4,0,0,1,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Disagree,No,Male,22,Asian,Graduate,2,2,6,3,6,4,6,5,5,1,3,2,1,5
1358,TRUE,1,34,235,"Competency,Confidence,Ambition","Team Work,Collaboration,Communication",9,8,9,7,7,11,10,8,8,7,8,3,11,9,1,0,2,-1,4,0,1,1,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,No,Female,23,Asian,Graduate,2,6,5,3,2,5,2,6,2,1,6,5,6,3
1033,TRUE,1,34,234,"Presentation Skills,Analytical Abilities,Compassion","Collaboration,Communication,Accountability",4,9,9,11,4,8,7,2,9,9,11,4,8,7,2,0,0,0,0,0,0,0.2857142857,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,No,Female,23,Asian,Graduate,1,1,5,4,6,3,6,5,3,1,4,4,2,5
1304,TRUE,1,34,236,"Competency,Analytical Abilities,Compassion","Team Work,Communication,Open Mindedness",5,11,4,6,4,9,12,5,11,4,6,4,9,12,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Slightly Agree,Agree,No,Male,35,Other,Graduate,1,4,6,5,3,1,5,1,3,1,4,5,6,6
