Duration (in seconds),Finished,condition,teamID,participantID,pre1,pre2,report1,report2,report3,report4,report5,report6,report7,tRoll1,tRoll2,tRoll3,tRoll4,tRoll5,tRoll6,tRoll7,diff1,diff2,diff3,diff4,diff5,diff6,diff7,avgcheat,competent,goodjob,performance,ability,effort,power,leadercheat,gender,age,race,schoolyear,Roll-1A,Roll-1B,Roll-2A,Roll-2B,Roll-3A,Roll-3B,Roll-4A,Roll-4B,Roll-5A,Roll-5B,Roll-6A,Roll-6B,Roll-7A,Roll-7B
892,TRUE,2,35,237,"Competency,Compassion,Good Intuition","Team Work,Collaboration,Communication",7,6,7,8,11,5,7,7,6,7,8,11,3,7,0,0,0,0,0,2,0,0.2857142857,Agree,Agree,Agree,Agree,Agree,Agree,No,Female,19,Hispanic/Latinx,Sophomore,5,2,2,4,6,1,4,4,5,6,1,2,1,6
1005,TRUE,2,35,238,"Presentation Skills,Compassion,Confidence","Communication,Flexibility,Accountability",7,4,8,9,7,8,10,7,4,4,7,7,6,7,0,0,4,2,0,2,3,1.571428571,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Male,20,Hispanic/Latinx,Sophomore,1,6,2,2,2,2,1,6,6,1,2,4,6,1
1028,TRUE,2,35,240,"Analytical Abilities,Good Intuition,Confidence","Team Work,Communication,Open Mindedness",8,10,10,8,6,5,9,8,10,10,8,6,5,9,0,0,0,0,0,0,0,0,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,No,Female,20,Asian,Junior,3,5,6,4,5,5,6,2,2,4,3,2,5,4
2818,TRUE,3,36,241,"Presentation Skills,Confidence,Ambition","Team Work,Collaboration,Competency",5,5,10,10,10,11,5,5,5,10,10,10,11,5,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,Disagree,Disagree,No,Male,30,Caucasian,Graduate,2,3,1,4,6,4,4,6,6,4,5,6,2,3
2790,TRUE,3,36,244,"Presentation Skills,Confidence,Ambition","Collaboration,Open Mindedness,Accountability",9,7,10,10,7,12,11,9,7,10,10,7,12,11,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Male,22,Asian,Graduate,5,4,2,5,6,4,5,5,4,3,6,6,6,5
3325,TRUE,3,36,242,"Presentation Skills,Analytical Abilities,Ambition","Team Work,Accountability,Competency",8,9,10,9,8,11,10,8,9,10,9,8,11,10,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,No,Male,22,Asian,Graduate,5,3,6,3,6,4,5,4,5,3,6,5,6,4
1737,TRUE,1,37,247,"Competency,Good Intuition,Confidence","Collaboration,Communication,Accountability",7,4,8,10,8,12,12,7,4,8,10,8,12,12,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Female,26,Asian,Graduate,1,6,2,2,6,2,6,4,4,4,6,6,6,6
1733,TRUE,1,37,245,"Compassion,Good Intuition,Confidence","Team Work,Collaboration,Flexibility",7,6,9,8,7,8,8,7,5,4,7,4,8,7,0,1,5,1,3,0,1,1.571428571,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,No,Male,22,Hispanic/Latinx,Senior,3,4,1,4,3,1,6,1,1,3,3,5,4,3
1738,TRUE,1,37,246,"Competency,Compassion,Confidence","Communication,Flexibility,Accountability",4,6,3,7,3,10,4,3,6,3,7,3,10,4,1,0,0,0,0,0,0,0.1428571429,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,No,Female,26,African American,Graduate,1,2,2,4,2,1,1,6,2,1,5,5,2,2
2389,TRUE,2,38,249,"Analytical Abilities,Good Intuition,Confidence","Communication,Open Mindedness,Accountability",10,7,8,9,8,7,6,10,7,8,9,8,7,6,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Yes,Male,21,Caucasian,Junior,5,5,6,1,6,2,5,4,4,4,4,3,2,4
2386,TRUE,2,38,252,"Presentation Skills,Compassion,Confidence","Team Work,Collaboration,Accountability",9,5,5,7,9,10,5,9,5,5,7,9,10,5,0,0,0,0,0,0,0,0,Agree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Yes,Male,25,Asian,Graduate,3,6,1,4,3,2,1,6,5,4,6,4,4,1
2077,TRUE,2,38,251,"Presentation Skills,Confidence,Ambition","Team Work,Communication,Open Mindedness",3,9,3,11,5,11,8,3,9,3,11,5,11,8,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Agree,Yes,Male,18,Asian,Other,1,2,4,5,2,1,5,6,2,3,6,5,4,4
937,TRUE,3,39,255,"Competency,Presentation Skills,Good Intuition","Collaboration,Flexibility,Competency",8,9,11,6,8,7,9,7,8,11,3,8,4,6,1,1,0,3,0,3,3,1.571428571,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,No,Female,20,Asian,Freshman,5,2,5,3,5,6,2,1,4,4,1,3,5,1
1406,TRUE,3,39,256,"Competency,Compassion,Confidence","Communication,Open Mindedness,Accountability",6,8,6,7,5,11,6,6,8,6,7,5,11,6,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Male,20,Caucasian,Junior,3,3,3,5,4,2,1,6,2,3,5,6,2,4
1639,TRUE,3,39,253,"Compassion,Good Intuition,Confidence","Team Work,Communication,Open Mindedness",12,12,11,12,12,12,8,8,9,9,8,4,7,8,4,3,2,4,8,5,0,3.714285714,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Male,23,Asian,Graduate,4,4,6,3,6,3,4,4,3,1,4,3,2,6
1085,TRUE,1,40,258,"Competency,Confidence,Ambition","Team Work,Open Mindedness,Competency",8,12,8,12,5,7,7,8,12,8,12,5,7,7,0,0,0,0,0,0,0,0,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,Asian,Freshman,4,4,6,6,2,6,6,6,3,2,4,3,2,5
586,TRUE,1,40,257,"Analytical Abilities,Good Intuition,Confidence","Team Work,Collaboration,Flexibility",12,8,9,5,7,8,6,12,8,9,5,7,8,6,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,18,African American,Freshman,6,6,3,5,6,3,4,1,1,6,3,5,5,1
1077,TRUE,1,40,260,"Competency,Compassion,Good Intuition","Collaboration,Communication,Flexibility",12,12,12,12,12,12,12,5,10,6,6,5,8,10,7,2,6,6,7,4,2,4.857142857,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,21,Caucasian,Junior,3,2,5,5,4,2,3,3,2,3,6,2,6,4
1050,TRUE,2,41,264,"Analytical Abilities,Good Intuition,Confidence","Communication,Accountability,Competency",9,5,8,6,4,5,8,9,5,8,6,4,5,8,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Slightly Agree,No,Male,19,Asian,Sophomore,4,5,2,3,6,2,1,5,2,2,4,1,4,4
1118,TRUE,2,41,261,"Presentation Skills,Good Intuition,Ambition","Team Work,Communication,Accountability",5,9,9,7,6,6,9,5,9,7,7,6,6,9,0,0,2,0,0,0,0,0.2857142857,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Yes,Female,22,Asian,Graduate,1,4,5,4,2,5,1,6,3,3,2,4,5,4
1154,TRUE,2,41,262,"Analytical Abilities,Good Intuition,Confidence","Team Work,Communication,Open Mindedness",8,5,3,7,7,8,8,8,5,3,7,7,8,8,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Female,23,Asian,Graduate,3,5,3,2,1,2,3,4,4,3,4,4,2,6
1355,TRUE,3,42,268,"Competency,Analytical Abilities,Compassion","Communication,Open Mindedness,Accountability",3,2,3,6,7,6,6,3,2,3,6,7,6,6,0,0,0,0,0,0,0,0,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Yes,Male,18,Asian,Freshman,2,1,1,1,1,2,5,1,5,2,1,5,1,5
1340,TRUE,3,42,268,"Competency,Good Intuition,Confidence","Communication,Flexibility,Accountability",12,10,11,10,12,5,10,10,5,11,10,12,5,8,2,5,0,0,0,0,2,1.285714286,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Male,18,Asian,Freshman,5,5,3,2,6,5,4,6,6,6,4,1,3,5
1374,TRUE,3,42,265,"Competency,Compassion,Good Intuition","Communication,Accountability,Competency",5,10,6,6,6,8,4,5,10,6,6,6,8,4,0,0,0,0,0,0,0,0,Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,18,Caucasian,Freshman,1,4,6,4,3,3,3,3,4,2,2,6,3,1
1298,TRUE,1,43,269,"Competency,Confidence,Ambition","Team Work,Collaboration,Communication",6,8,9,7,6,5,10,6,8,6,4,2,5,6,0,0,3,3,4,0,4,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,18,African American,Freshman,3,3,5,3,5,1,3,1,1,1,3,2,5,1
1319,TRUE,1,43,271,"Competency,Presentation Skills,Confidence","Team Work,Open Mindedness,Flexibility",7,6,12,8,8,7,10,7,6,12,8,8,7,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Disagree,No,Male,20,Asian,Junior,4,3,5,1,6,6,4,4,4,4,3,4,5,5
1296,TRUE,1,43,272,"Competency,Analytical Abilities,Compassion","Collaboration,Communication,Accountability",6,7,10,8,7,7,12,6,7,10,8,7,7,12,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,Caucasian,Freshman,2,4,2,5,4,6,2,6,2,5,2,5,6,6
1205,TRUE,2,44,273,"Compassion,Confidence,Ambition","Team Work,Collaboration,Accountability",12,12,12,2,7,2,12,5,11,7,5,11,6,7,7,1,5,-3,-4,-4,5,1,Slightly Agree,Agree,Agree,Agree,Slightly Disagree,Agree,Yes,Male,20,Asian,Junior,2,3,5,6,2,5,1,4,5,6,4,2,1,6
1276,TRUE,2,44,275,"Competency,Analytical Abilities,Compassion","Team Work,Communication,Accountability",8,10,6,12,12,10,7,8,10,6,7,11,10,7,0,0,0,5,1,0,0,0.8571428571,Agree,Agree,Agree,Agree,Slightly Agree,Strongly Agree,Yes,Female,20,Other,Junior,5,3,5,5,1,5,6,1,5,6,6,4,5,2
1249,TRUE,2,44,274,"Competency,Compassion,Confidence","Collaboration,Communication,Flexibility",12,12,12,12,9,4,10,8,8,7,9,9,4,10,4,4,5,3,0,0,0,2.285714286,Agree,Agree,Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,No,Female,21,African American,Senior,2,6,2,6,1,6,6,3,5,4,3,1,4,6
1044,TRUE,3,45,279,"Competency,Compassion,Confidence","Collaboration,Communication,Competency",10,10,12,12,12,5,4,10,10,9,9,5,5,4,0,0,3,3,7,0,0,1.857142857,Agree,Agree,Agree,Disagree,Disagree,Disagree,No,Female,21,Caucasian,Junior,5,5,6,4,4,5,6,3,1,4,1,4,3,1
1129,TRUE,3,45,277,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",8,10,12,11,11,6,12,6,10,6,5,11,6,6,2,0,6,6,0,0,6,2.857142857,Disagree,Disagree,Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Yes,Female,18,Caucasian,Junior,2,4,5,5,1,5,1,4,6,5,4,2,1,5
917,TRUE,3,45,278,"Competency,Compassion,Good Intuition","Collaboration,Flexibility,Accountability",7,9,6,9,10,10,7,7,9,6,9,4,5,7,0,0,0,0,6,5,0,1.571428571,Agree,Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,No,Female,19,Hispanic/Latinx,Junior,3,4,4,5,3,3,6,3,1,3,1,4,2,5
1103,TRUE,3,46,282,"Competency,Compassion,Confidence","Team Work,Communication,Open Mindedness",12,12,12,12,12,12,12,4,9,9,4,5,10,5,8,3,3,8,7,2,7,5.428571429,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Disagree,Slightly Agree,No,Female,20,Caucasian,Sophomore,2,2,6,3,6,3,3,1,3,2,6,4,4,1
1095,TRUE,3,46,283,"Competency,Presentation Skills,Confidence","Team Work,Collaboration,Open Mindedness",7,7,11,8,2,12,7,7,7,11,8,2,12,7,0,0,0,0,0,0,0,0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,Female,20,Caucasian,Sophomore,3,4,2,5,5,6,5,3,1,1,6,6,6,1
860,TRUE,3,46,284,"Competency,Compassion,Confidence","Communication,Accountability,Competency",6,12,12,12,12,12,12,6,6,6,9,6,6,8,0,6,6,3,6,6,4,4.428571429,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Female,19,Caucasian,Sophomore,1,5,1,5,3,3,3,6,2,4,1,5,4,4
1350,TRUE,2,47,287,"Competency,Compassion,Good Intuition","Team Work,Communication,Accountability",6,8,10,3,5,4,10,6,8,10,3,5,4,10,0,0,0,0,0,0,0,0,Strongly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Yes,Female,21,Hispanic/Latinx,Senior,3,3,5,3,4,6,1,2,4,1,1,3,5,5
1340,TRUE,2,47,288,"Competency,Analytical Abilities,Confidence","Team Work,Collaboration,Accountability",6,3,10,9,6,12,10,6,3,10,9,6,12,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Female,21,Asian,Senior,1,5,1,2,6,4,5,4,5,1,6,6,5,5
1359,TRUE,2,47,286,"Competency,Compassion,Confidence","Collaboration,Communication,Flexibility",10,9,12,9,9,10,8,8,9,10,9,9,7,7,2,0,2,0,0,3,1,1.142857143,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,Female,20,Hispanic/Latinx,Freshman,6,2,6,3,6,4,4,5,5,4,3,4,1,6
1327,TRUE,1,48,292,"Competency,Good Intuition,Ambition","Open Mindedness,Flexibility,Accountability",7,7,4,8,9,12,7,7,7,4,8,9,12,7,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Female,20,Asian,Junior,6,1,2,5,3,1,5,3,4,5,6,6,2,5
1292,TRUE,1,48,291,"Competency,Compassion,Ambition","Collaboration,Communication,Competency",3,9,4,7,11,5,10,3,9,4,5,11,5,9,0,0,0,2,0,0,1,0.4285714286,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,No,Female,19,Asian,Sophomore,1,2,5,4,3,1,2,3,5,6,3,2,5,4
776,TRUE,1,48,290,"Presentation Skills,Analytical Abilities,Confidence","Collaboration,Communication,Open Mindedness",3,9,6,8,11,12,9,3,9,6,8,11,12,9,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,No,Male,23,Caucasian,Graduate,1,2,6,3,2,4,6,2,6,5,6,6,5,4
910,TRUE,1,49,294,"Competency,Presentation Skills,Confidence","Team Work,Communication,Flexibility",11,3,5,9,5,3,10,11,3,5,9,5,3,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Disagree,No,Female,23,Asian,Graduate,5,6,2,1,3,2,5,4,4,1,1,2,5,5
871,TRUE,1,49,293,"Competency,Good Intuition,Ambition","Collaboration,Communication,Competency",9,11,7,9,8,4,10,9,11,7,9,8,4,10,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,Male,30,Caucasian,Graduate,3,6,5,6,1,6,6,3,5,3,3,1,4,6
936,TRUE,1,49,296,"Competency,Presentation Skills,Good Intuition","Collaboration,Communication,Competency",7,7,3,3,7,12,12,7,7,3,3,7,12,12,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,No,Female,22,Asian,Graduate,2,5,2,5,1,2,2,1,4,3,6,6,6,6
896,TRUE,2,50,299,"Analytical Abilities,Confidence,Ambition","Team Work,Communication,Open Mindedness",7,8,12,11,9,12,6,7,8,12,11,9,12,6,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Male,24,Asian,Graduate,4,3,2,6,6,6,5,6,4,5,6,6,5,1
873,TRUE,2,50,297,"Compassion,Good Intuition,Confidence","Team Work,Communication,Accountability",10,11,8,12,9,12,5,4,8,5,11,8,12,2,6,3,3,1,1,0,3,2.428571429,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Slightly Agree,No,Male,22,Asian,Graduate,2,2,3,5,2,3,5,6,6,2,6,6,1,1
898,TRUE,2,50,298,"Competency,Confidence,Ambition","Team Work,Communication,Competency",6,7,7,4,6,7,4,6,7,7,4,6,7,4,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Slightly Disagree,No,Male,23,Asian,Graduate,3,3,2,5,3,4,1,3,1,5,4,3,1,3
1083,TRUE,3,51,304,"Competency,Compassion,Ambition","Communication,Open Mindedness,Flexibility",10,7,5,10,4,4,4,10,7,5,10,4,4,4,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,No,Male,18,Asian,Freshman,6,4,6,1,3,2,5,5,3,1,3,1,3,1
851,TRUE,3,51,302,"Competency,Compassion,Confidence","Communication,Flexibility,Accountability",10,8,10,6,8,5,7,10,8,10,6,8,5,7,0,0,0,0,0,0,0,0,Slightly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,28,Asian,Graduate,6,4,3,5,6,4,3,3,6,2,1,4,5,2
1147,TRUE,3,51,301,"Competency,Compassion,Good Intuition","Collaboration,Communication,Open Mindedness",9,12,6,10,7,4,9,9,12,6,10,7,4,9,0,0,0,0,0,0,0,0,Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,Female,,Other,Senior,5,4,6,6,4,2,5,5,4,3,3,1,5,4